year,county,hospital,total,cesarean_total,cesarean_repeat,vbac
2018,STATE TOTAL,NA,135026,40758,16295,3416
2018,ADAMS,WELLSPAN GETTYSBURG HOSPITAL,464,124,50,2
2018,ALLEGHENY,ALLEGHENY GENERAL HOSPITAL,1,0,0,0
2018,ALLEGHENY,FORBES HOSPITAL,1367,444,170,28
2018,ALLEGHENY,HERITAGE VALLEY SEWICKLEY,722,295,123,5
2018,ALLEGHENY,JEFFERSON HOSPITAL,1028,317,136,33
2018,ALLEGHENY,LIFECARE HOSPITALS OF PITTSBURGH - ALLE-KIS,2,0,0,1
2018,ALLEGHENY,ST. CLAIR MEMORIAL HOSPITAL,1523,452,174,13
2018,ALLEGHENY,UPMC CHILDREN'S HOSPITAL OF PITTSBURGH,1,1,0,0
2018,ALLEGHENY,UPMC MAGEE - WOMENS HOSPITAL,8537,2484,244,87
2018,ALLEGHENY,UPMC MERCY,1026,269,98,27
2018,ALLEGHENY,UPMC PASSAVANT,1,0,0,0
2018,ALLEGHENY,UPMC ST MARGARET,1,0,0,0
2018,ALLEGHENY,WEST PENN HOSPITAL,4404,1541,630,135
2018,ARMSTRONG,ACMH,362,134,52,5
2018,BEAVER,CURAHEALTH HERITAGE VALLEY,948,282,84,20
2018,BEDFORD,UPMC BEDFORD MEMORIAL,3,0,0,0
2018,BERKS,PENN STATE HEALTH ST. JOSEPH MEDICAL CENTER,664,181,73,16
2018,BERKS,READING HOSPITAL,3344,1057,492,95
2018,BLAIR,NASON HOSPITAL,315,73,25,0
2018,BLAIR,UPMC ALTOONA,1204,281,75,15
2018,BRADFORD,ROBERT PACKER HOSPITAL,728,220,101,14
2018,BUCKS,DOYLESTOWN HOSPITAL,1221,470,228,16
2018,BUCKS,GRAND VIEW HOSPITAL,1159,413,167,15
2018,BUCKS,ST MARY MEDICAL CENTER,2056,691,322,38
2018,BUTLER,BUTLER MEMORIAL HOSPITAL,973,281,121,23
2018,CAMBRIA,CONEMAUGH MEMORIAL MEDICAL CENTER,1828,527,234,45
2018,CARBON,ST. LUKE'S GNADEN HUETTEN,2,0,0,0
2018,CENTRE,MOUNT NITTANY MEDICAL CENTER,1294,313,139,26
2018,CHESTER,CHESTER COUNTY HOSPITAL,2914,736,341,107
2018,CHESTER,JENNERSVILLE HOSPITAL,2,0,0,0
2018,CHESTER,MAIN LINE HOSPITAL PAOLI,2049,719,336,40
2018,CHESTER,PHOENIXVILLE HOSPITAL,819,248,124,27
2018,CLARION,CLARION HOSPITAL,100,32,16,0
2018,CLEARFIELD,PENN HIGHLANDS DUBOIS,1059,274,121,27
2018,COLUMBIA,GEISINGER-BLOOMSBURG HOSPITAL,444,91,22,0
2018,CRAWFORD,MEADVILLE MEDICAL CENTER,529,152,68,3
2018,CRAWFORD,TITUSVILLE AREA HOSPITAL,1,0,0,0
2018,CUMBERLAND,HOLY SPIRIT HOSPITAL,1178,260,102,39
